ObjInstance,Identifier,MethodName,ElapsedMilliseconds,Version
BenchmarkComponent,0675bb23-45e0-4697-acf4-63ab35515735,FINISH,507,Version0
BenchmarkComponent,0675bb23-45e0-4697-acf4-63ab35515735,OnInit_OnParam,437,Version0
BenchmarkComponent,0675bb23-45e0-4697-acf4-63ab35515735,OnParam_OnAfterRender,507,Version0
BenchmarkComponent,0675bb23-45e0-4697-acf4-63ab35515735,SetParam,433,Version0
BenchmarkComponent,0675bb23-45e0-4697-acf4-63ab35515735,SetParam_OnInit,436,Version0
VersionComponent,0675bb23-45e0-4697-acf4-63ab35515735,FINISH,501,Version0
VersionComponent,0675bb23-45e0-4697-acf4-63ab35515735,GenerateOrders,382,Version0
VersionComponent,0675bb23-45e0-4697-acf4-63ab35515735,OnInit_OnParam,419,Version0
VersionComponent,0675bb23-45e0-4697-acf4-63ab35515735,OnParam_OnAfterRender,484,Version0
VersionComponent,0675bb23-45e0-4697-acf4-63ab35515735,PopulateChartOrderState,12,Version0
VersionComponent,0675bb23-45e0-4697-acf4-63ab35515735,SetParam,9,Version0
VersionComponent,0675bb23-45e0-4697-acf4-63ab35515735,SetParam_OnInit,22,Version0
VersionComponent,0675bb23-45e0-4697-acf4-63ab35515735,VisualizeOrderStatusSuccess,16,Version0
BenchmarkComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,FINISH,481,Version0
BenchmarkComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,OnInit_OnParam,413,Version0
BenchmarkComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,OnParam_OnAfterRender,481,Version0
BenchmarkComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,SetParam,410,Version0
BenchmarkComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,SetParam_OnInit,412,Version0
VersionComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,FINISH,475,Version0
VersionComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,GenerateOrders,359,Version0
VersionComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,OnInit_OnParam,395,Version0
VersionComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,OnParam_OnAfterRender,459,Version0
VersionComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,PopulateChartOrderState,11,Version0
VersionComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,SetParam,9,Version0
VersionComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,SetParam_OnInit,22,Version0
VersionComponent,0a4cdb12-263f-438a-bb9f-c5153904edfe,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,FINISH,500,Version0
BenchmarkComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,OnInit_OnParam,431,Version0
BenchmarkComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,OnParam_OnAfterRender,500,Version0
BenchmarkComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,SetParam,428,Version0
BenchmarkComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,SetParam_OnInit,431,Version0
VersionComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,FINISH,494,Version0
VersionComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,GenerateOrders,374,Version0
VersionComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,OnInit_OnParam,413,Version0
VersionComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,OnParam_OnAfterRender,477,Version0
VersionComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,PopulateChartOrderState,13,Version0
VersionComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,SetParam,8,Version0
VersionComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,SetParam_OnInit,21,Version0
VersionComponent,1481d9cc-b29b-4803-87a6-68331c0d6d7b,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,FINISH,484,Version0
BenchmarkComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,OnInit_OnParam,416,Version0
BenchmarkComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,OnParam_OnAfterRender,484,Version0
BenchmarkComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,SetParam,413,Version0
BenchmarkComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,SetParam_OnInit,416,Version0
VersionComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,FINISH,478,Version0
VersionComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,GenerateOrders,361,Version0
VersionComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,OnInit_OnParam,398,Version0
VersionComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,OnParam_OnAfterRender,462,Version0
VersionComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,PopulateChartOrderState,12,Version0
VersionComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,SetParam,8,Version0
VersionComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,SetParam_OnInit,21,Version0
VersionComponent,1606b4fb-7296-45b0-8d0d-5f9611aa36f2,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,1b2bbe83-a235-4b11-858f-32982aed421c,FINISH,475,Version0
BenchmarkComponent,1b2bbe83-a235-4b11-858f-32982aed421c,OnInit_OnParam,408,Version0
BenchmarkComponent,1b2bbe83-a235-4b11-858f-32982aed421c,OnParam_OnAfterRender,475,Version0
BenchmarkComponent,1b2bbe83-a235-4b11-858f-32982aed421c,SetParam,405,Version0
BenchmarkComponent,1b2bbe83-a235-4b11-858f-32982aed421c,SetParam_OnInit,408,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,FINISH,469,Version0
VersionComponent,1b2bbe83-a235-4b11-858f-32982aed421c,GenerateOrders,355,Version0
