ObjInstance,Identifier,MethodName,ElapsedMilliseconds,Version
BenchmarkComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,FINISH,327,Version0
BenchmarkComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,OnInit_OnParam,178,Version0
BenchmarkComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,OnParam_OnAfterRender,326,Version0
BenchmarkComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,SetParam,174,Version0
BenchmarkComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,SetParam_OnInit,178,Version0
VersionComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,FINISH,322,Version0
VersionComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,GenerateOrders,140,Version0
VersionComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,OnInit_OnParam,167,Version0
VersionComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,OnParam_OnAfterRender,312,Version0
VersionComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,PopulateChartOrderState,12,Version0
VersionComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,SetParam,5,Version0
VersionComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,SetParam_OnInit,12,Version0
VersionComponent,0b754e5c-f599-477e-bfac-a8b21b1d0065,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,0c6a2b37-3569-4192-b9b9-a355018df584,FINISH,307,Version0
BenchmarkComponent,0c6a2b37-3569-4192-b9b9-a355018df584,OnInit_OnParam,173,Version0
BenchmarkComponent,0c6a2b37-3569-4192-b9b9-a355018df584,OnParam_OnAfterRender,307,Version0
BenchmarkComponent,0c6a2b37-3569-4192-b9b9-a355018df584,SetParam,169,Version0
BenchmarkComponent,0c6a2b37-3569-4192-b9b9-a355018df584,SetParam_OnInit,173,Version0
VersionComponent,0c6a2b37-3569-4192-b9b9-a355018df584,FINISH,303,Version0
VersionComponent,0c6a2b37-3569-4192-b9b9-a355018df584,GenerateOrders,135,Version0
VersionComponent,0c6a2b37-3569-4192-b9b9-a355018df584,OnInit_OnParam,162,Version0
VersionComponent,0c6a2b37-3569-4192-b9b9-a355018df584,OnParam_OnAfterRender,292,Version0
VersionComponent,0c6a2b37-3569-4192-b9b9-a355018df584,PopulateChartOrderState,12,Version0
VersionComponent,0c6a2b37-3569-4192-b9b9-a355018df584,SetParam,5,Version0
VersionComponent,0c6a2b37-3569-4192-b9b9-a355018df584,SetParam_OnInit,12,Version0
VersionComponent,0c6a2b37-3569-4192-b9b9-a355018df584,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,FINISH,346,Version0
BenchmarkComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,OnInit_OnParam,174,Version0
BenchmarkComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,OnParam_OnAfterRender,346,Version0
BenchmarkComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,SetParam,170,Version0
BenchmarkComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,SetParam_OnInit,174,Version0
VersionComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,FINISH,342,Version0
VersionComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,GenerateOrders,136,Version0
VersionComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,OnInit_OnParam,164,Version0
VersionComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,OnParam_OnAfterRender,331,Version0
VersionComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,PopulateChartOrderState,12,Version0
VersionComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,SetParam,5,Version0
VersionComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,SetParam_OnInit,11,Version0
VersionComponent,0cf55fbd-bf8b-4eaa-bb19-46dad1f8c074,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,FINISH,323,Version0
BenchmarkComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,OnInit_OnParam,180,Version0
BenchmarkComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,OnParam_OnAfterRender,323,Version0
BenchmarkComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,SetParam,176,Version0
BenchmarkComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,SetParam_OnInit,180,Version0
VersionComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,FINISH,319,Version0
VersionComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,GenerateOrders,143,Version0
VersionComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,OnInit_OnParam,170,Version0
VersionComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,OnParam_OnAfterRender,308,Version0
VersionComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,PopulateChartOrderState,12,Version0
VersionComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,SetParam,5,Version0
VersionComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,SetParam_OnInit,12,Version0
VersionComponent,0f032b18-aa7a-4f9a-a52c-fa0fb94f654a,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,0f860034-fab0-4bf0-a924-ea734671ba50,FINISH,322,Version0
BenchmarkComponent,0f860034-fab0-4bf0-a924-ea734671ba50,OnInit_OnParam,175,Version0
BenchmarkComponent,0f860034-fab0-4bf0-a924-ea734671ba50,OnParam_OnAfterRender,322,Version0
BenchmarkComponent,0f860034-fab0-4bf0-a924-ea734671ba50,SetParam,171,Version0
BenchmarkComponent,0f860034-fab0-4bf0-a924-ea734671ba50,SetParam_OnInit,175,Version0
VersionComponent,0f860034-fab0-4bf0-a924-ea734671ba50,FINISH,318,Version0
VersionComponent,0f860034-fab0-4bf0-a924-ea734671ba50,GenerateOrders,136,Version0
VersionComponent,0f860034-fab0-4bf0-a924-ea734671ba50,OnInit_OnParam,165,Version0
VersionComponent,0f860034-fab0-4bf0-a924-ea734671ba50,OnParam_OnAfterRender,308,Version0
VersionComponent,0f860034-fab0-4bf0-a924-ea734671ba50,PopulateChartOrderState,12,Version0
VersionComponent,0f860034-fab0-4bf0-a924-ea734671ba50,SetParam,6,Version0
VersionComponent,0f860034-fab0-4bf0-a924-ea734671ba50,SetParam_OnInit,12,Version0
VersionComponent,0f860034-fab0-4bf0-a924-ea734671ba50,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,FINISH,336,Version0
BenchmarkComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,OnInit_OnParam,175,Version0
BenchmarkComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,OnParam_OnAfterRender,335,Version0
BenchmarkComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,SetParam,171,Version0
BenchmarkComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,SetParam_OnInit,174,Version0
VersionComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,FINISH,331,Version0
VersionComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,GenerateOrders,135,Version0
VersionComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,OnInit_OnParam,164,Version0
VersionComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,OnParam_OnAfterRender,321,Version0
VersionComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,PopulateChartOrderState,12,Version0
VersionComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,SetParam,5,Version0
VersionComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,SetParam_OnInit,13,Version0
VersionComponent,0f8f59a5-11db-404c-8442-b4a7df1d3895,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,1b8b2494-6de4-4db8-928f-cb9335374941,FINISH,333,Version0
BenchmarkComponent,1b8b2494-6de4-4db8-928f-cb9335374941,OnInit_OnParam,175,Version0
BenchmarkComponent,1b8b2494-6de4-4db8-928f-cb9335374941,OnParam_OnAfterRender,332,Version0
BenchmarkComponent,1b8b2494-6de4-4db8-928f-cb9335374941,SetParam,171,Version0
BenchmarkComponent,1b8b2494-6de4-4db8-928f-cb9335374941,SetParam_OnInit,175,Version0
VersionComponent,1b8b2494-6de4-4db8-928f-cb9335374941,FINISH,328,Version0
VersionComponent,1b8b2494-6de4-4db8-928f-cb9335374941,GenerateOrders,137,Version0
VersionComponent,1b8b2494-6de4-4db8-928f-cb9335374941,OnInit_OnParam,165,Version0
VersionComponent,1b8b2494-6de4-4db8-928f-cb9335374941,OnParam_OnAfterRender,318,Version0
VersionComponent,1b8b2494-6de4-4db8-928f-cb9335374941,PopulateChartOrderState,12,Version0
VersionComponent,1b8b2494-6de4-4db8-928f-cb9335374941,SetParam,5,Version0
VersionComponent,1b8b2494-6de4-4db8-928f-cb9335374941,SetParam_OnInit,12,Version0
VersionComponent,1b8b2494-6de4-4db8-928f-cb9335374941,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,1d250ac7-3c9a-4e06-88b3-e70a66619eb3,FINISH,316,Version0
BenchmarkComponent,1d250ac7-3c9a-4e06-88b3-e70a66619eb3,OnInit_OnParam,185,Version0
BenchmarkComponent,1d250ac7-3c9a-4e06-88b3-e70a66619eb3,OnParam_OnAfterRender,315,Version0
BenchmarkComponent,1d250ac7-3c9a-4e06-88b3-e70a66619eb3,SetParam,181,Version0
BenchmarkComponent,1d250ac7-3c9a-4e06-88b3-e70a66619eb3,SetParam_OnInit,185,Version0
VersionComponent,1d250ac7-3c9a-4e06-88b3-e70a66619eb3,FINISH,312,Version0
VersionComponent,1d250ac7-3c9a-4e06-88b3-e70a66619eb3,GenerateOrders,148,Version0
